           LockChart; Algorithm; Enterings;               First;               Optim;              Finish
 D02M0025I02P06D100R;      SAT2;        36;            0.005792;            0.005792;            0.005792
 D02M0025I02P06D100R;      SAT4;        36;            0.508033;            0.508033;            0.508033
 D02M0040I02P10D050R;      SAT2;       100;            0.021994;            0.021994;            0.021994
 D02M0040I02P10D050R;      SAT4;        60;            0.027650;            0.065152;            2.130748
 D02M0040I02P10D050R;    Impl10;        70;            0.040134;          947.460329;     10000000.000000
 D02M0040I02P10D050R;    Impl15;        70;            0.038941;         1015.066499;     10000000.000000
 D02M0040I02P10D050R;    Impl30;        70;            0.013406;         1031.426696;     10000000.000000
 D02M0040I02P10D050R;    Impl50;        70;            0.008386;         1042.823885;     10000000.000000
 D02M0040I02P10D050R;      AllD;        70;            0.009171;         3164.778046;     10000000.000000
 D02M0081I02P10D100R;      SAT2;       100;            0.083422;            0.083422;            0.083422
 D02M0081I02P10D100R;      SAT4;       100;            2.462339;            2.462339;            2.462339
 D02M0020I06P02D100R;      SAT2;        64;            0.002139;            0.002139;            0.002139
 D02M0020I06P02D100R;      SAT4;        64;            0.021972;            0.021972;            0.843464
 D02M0020I06P02D100R;    Impl10;        64;         4920.207524;         4920.207524;         4922.243541
 D02M0187I06P06D001R;      SAT2;     46656;            1.669638;            1.669638;            1.669638
 D02M0187I06P06D001R;      SAT4;       864;            3.235457;            6.038745;           21.286819
 D02M0187I06P06D001R;    Impl10;       960;            1.662902;         4036.338042;     10000000.000000
 D02M0187I06P06D001R;    Impl15;       960;            1.813961;         4043.242288;     10000000.000000
 D02M0187I06P06D001R;    Impl30;       960;            1.692226;         4042.797771;     10000000.000000
 D02M0187I06P06D001R;    Impl50;       960;            4.354490;         4029.761058;     10000000.000000
 D02M0187I06P06D001R;      AllD;     19440;          207.408010;         5427.522145;     10000000.000000
 D02M0025I10P02D010R;      SAT2;      1024;            0.007361;            0.007361;            0.007361
 D02M0025I10P02D010R;      SAT4;       128;            0.008554;            0.014651;            0.846732
 D02M0025I10P02D010R;    Impl10;       256;            0.007483;            0.224141;     10000000.000000
 D02M0025I10P02D010R;    Impl15;       256;            0.006669;            0.231022;     10000000.000000
 D02M0025I10P02D010R;    Impl30;       256;            0.007084;            0.238957;     10000000.000000
 D02M0025I10P02D010R;    Impl50;       256;            0.006964;            0.238467;     10000000.000000
 D02M0025I10P02D010R;      AllD;       256;            0.052811;            1.542003;     10000000.000000
 D02M0050I10P02D020R;      SAT2;      1024;            0.026864;            0.026864;            0.026864
 D02M0050I10P02D020R;      SAT4;       512;            0.033161;            0.036515;            0.825470
 D02M0050I10P02D020R;    Impl10;       512;            0.021063;            0.343959;     10000000.000000
 D02M0050I10P02D020R;    Impl15;       512;            0.019447;            0.290919;     10000000.000000
 D02M0050I10P02D020R;    Impl30;       512;            0.020781;            0.288501;     10000000.000000
 D02M0050I10P02D020R;    Impl50;       512;            0.014944;            0.281619;     10000000.000000
 D02M0050I10P02D020R;      AllD;       512;            0.137094;            1.912256;     10000000.000000
 D02M0126I10P02D050R;      SAT2;      1024;            0.180704;            0.180704;            0.180704
 D02M0126I10P02D050R;      SAT4;      1024;            0.516340;            0.516340;            2.498662
 D02M0126I10P02D050R;    Impl10;      1024;            0.074155;            0.074155;     10000000.000000
 D02M0126I10P02D050R;    Impl15;      1024;            0.074944;            0.074944;     10000000.000000
 D02M0126I10P02D050R;    Impl30;      1024;            0.073937;            0.073937;     10000000.000000
 D02M0126I10P02D050R;    Impl50;      1024;            0.073641;            0.073641;     10000000.000000
 D02M0126I10P02D050R;      AllD;      1024;            0.405513;            0.405513;     10000000.000000
 D06M0025I02P06D100R;      SAT2;        36;            0.007141;            0.007141;            0.007141
 D06M0025I02P06D100R;      SAT4;        36;            0.894663;            0.894663;            0.894663
 D06M0040I02P10D050R;      SAT2;       100;            0.017960;            0.017960;            0.017960
 D06M0040I02P10D050R;      SAT4;        80;            0.065863;            0.101607;            3.054421
 D06M0040I02P10D050R;    Impl10;        80;            0.003678;            0.181558;     10000000.000000
 D06M0040I02P10D050R;    Impl15;        80;            0.001124;            0.194077;     10000000.000000
 D06M0040I02P10D050R;    Impl30;        80;            0.001078;            0.173990;     10000000.000000
 D06M0040I02P10D050R;    Impl50;        80;            0.003932;            0.178107;     10000000.000000
 D06M0040I02P10D050R;      AllD;        80;            0.003421;            0.320926;     10000000.000000
 D06M0081I02P10D100R;      SAT2;       100;            0.096929;            0.096929;            0.096929
 D06M0081I02P10D100R;      SAT4;       100;            2.405614;            2.405614;            2.405614
 D06M0020I06P02D100R;      SAT2;        64;            0.004192;            0.004192;            0.004192
