seed;p;dMax;availables;plain;jump;gain;contour;plateau;qEst;qHat;sHat;pHit;fromzero;fzSAG;fzPur;randomly;rdSAG;rdPur;cleverly;clSAG;clPur;greedyIG;grSAG;grPur;bForceIG;bfSAG;bfPur
   3;3;   8;       512;plain;  11;   0;      3;      3;   0;   0; 343;67.0;     343;    0; pure;     277;    0;  imp;     343;    0; pure;     343;    0; pure;       ?;    ?;    ?
   4;3;   5;       125;plain;  11;   0;      3;      3;   0;   0;  64;51.2;      64;    0; pure;      45;    0;  imp;      64;    0; pure;      64;    0; pure;       ?;    ?;    ?
   8;5;   5;       116; skew;   1;   2;      4;      2;   1;   1;  40;34.5;      54;    1;  imp;      47;    0;  imp;      55;    1;  imp;      52;    1;  imp;       ?;    ?;    ?
  10;4;   4;        16; skew;   1;   0;      3;      1;   1;   0;   8;50.0;      10;    0;  imp;      10;    0;  imp;      11;    0;  imp;      11;    0;  imp;      11;    0;  imp
  13;5;   7;       720; skew;   5;   6;      1;      4;   0;   0; 341;47.4;     408;    0;  imp;     393;    0;  imp;     458;    0;  imp;     452;    0;  imp;       ?;    ?;    ?
  14;6;   4;      1816; skew;   2;   1;      3;      3;   1;   1; 637;35.1;     505;    1;  imp;     382;    1;  imp;     637;    1; pure;     512;    1;  imp;       ?;    ?;    ?
  15;4;   8;        12; skew;   3;   7;      2;      1;   0;   0;   6;50.0;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp
  20;6;   5;     15625;plain;  11;   0;      6;      6;   1;   1;6144;39.3;    6144;    1; pure;    3577;    1;  imp;    6144;    1; pure;    6144;    1; pure;       ?;    ?;    ?
  22;5;   4;      1024;plain;  11;   0;      5;      5;   1;   1; 405;39.6;     243;    0; pure;     215;    1;  imp;     405;    1; pure;     405;    1; pure;       ?;    ?;    ?
  23;2;   8;        14; skew;   1;   1;      2;      1;   0;   0;  11;78.6;      11;    0;  imp;      11;    0;  imp;      11;    0; pure;      11;    0;  imp;      11;    0;  imp
  24;2;   5;        20; skew;   4;   0;      1;      1;   0;   0;  13;65.0;      13;    0; pure;      13;    0; pure;      13;    0; pure;      13;    0; pure;      13;    0; pure
  27;5;   8;      2392; skew;   3;   4;      2;      1;   0;   0;1046;43.7;    1075;    0;  imp;     998;    0;  imp;    1152;    0;  imp;    1148;    1;  imp;       ?;    ?;    ?
  28;4;   5;       625;plain;  11;   0;      4;      4;   1;   1; 256;41.0;     256;    0; pure;     192;    0;  imp;     256;    1; pure;     256;    1; pure;       ?;    ?;    ?
  29;2;   7;        30; skew;   6;   2;      1;      1;   0;   0;  23;76.7;      23;    0; pure;      23;    0; pure;      23;    0; pure;      23;    0; pure;      23;    0; pure
  30;3;   4;        60; skew;   3;   0;      3;      2;   1;   0;  26;43.3;      25;    0;  imp;      21;    0;  imp;      26;    0; pure;      21;    1;  imp;      26;    0; pure
  32;6;   9;        78; skew;   1;   4;      3;      5;   0;   0;  36;46.2;      58;    0;  imp;      57;    0;  imp;      60;    0;  imp;      60;    0;  imp;       ?;    ?;    ?
  33;4;   6;      1296;plain;  11;   0;      4;      4;   0;   0; 625;48.2;     500;    1; pure;     344;    1;  imp;     625;    0; pure;     500;    1; pure;       ?;    ?;    ?
  34;5;   3;       146; skew;   2;   2;      3;      2;   2;   1;  48;32.9;      37;    1;  imp;      36;    1;  imp;      48;    1; pure;      41;    2;  imp;       ?;    ?;    ?
  36;2;   9;        81;plain;  11;   0;      2;      2;   0;   0;  64;79.0;      64;    0; pure;      51;    0;  imp;      64;    0; pure;      64;    0; pure;       ?;    ?;    ?
  37;6;   6;       480; skew;   4;   2;      1;      3;   1;   0; 176;36.7;     377;    1;  imp;     353;    1;  imp;     366;    0;  imp;     381;    1;  imp;       ?;    ?;    ?
  45;4;   6;        62; skew;   2;   3;      1;      4;   0;   0;  27;43.5;      37;    0;  imp;      34;    0;  imp;      39;    0;  imp;      40;    0;  imp;      40;    0;  imp
  46;6;   8;       240; skew;   2;   4;      1;      2;   0;   0; 111;46.3;     146;    0;  imp;     162;    0;  imp;     168;    0;  imp;     168;    0;  imp;       ?;    ?;    ?
  47;3;   5;        30; skew;   1;   1;      3;      2;   0;   0;  13;43.3;      12;    0;  imp;      12;    0;  imp;      15;    0;  imp;      15;    1;  imp;      15;    0;  imp
  52;6;   9;      4870; skew;   5;   8;      1;      6;   0;   0;1980;40.7;    2622;    0;  imp;    2490;    0;  imp;    3117;    0;  imp;    3009;    0;  imp;       ?;    ?;    ?
  53;3;   6;        16; skew;   3;   4;      3;      2;   0;   0;  10;62.5;       9;    0;  imp;       9;    0;  imp;      10;    0; pure;      10;    0; pure;      10;    0; pure
  57;5;   6;      7776;plain;  11;   0;      5;      5;   1;   1;3125;40.2;    3125;    0; pure;    1706;    0;  imp;    3125;    1; pure;    3125;    1; pure;       ?;    ?;    ?
  59;4;   5;        84; skew;   3;   0;      1;      3;   1;   0;  41;48.8;      38;    0;  imp;      42;    0;  imp;      44;    0;  imp;      45;    0;  imp;       ?;    ?;    ?
  63;6;   5;      8162; skew;   4;   4;      5;      6;   1;   1;3120;38.2;    2296;    2;  imp;    1725;    1;  imp;    3168;    1;  imp;    2614;    1;  imp;       ?;    ?;    ?
  65;3;   4;        64;plain;  11;   0;      3;      3;   1;   1;  27;42.2;      27;    1; pure;      10;    2;  imp;      27;    1; pure;      27;    1; pure;       ?;    ?;    ?
  67;2;   5;        20; skew;   4;   1;      1;      2;   0;   0;  13;65.0;       7;    0;  imp;       7;    0;  imp;      13;    0; pure;      13;    0; pure;      13;    0; pure
  69;5;   3;        90; skew;   2;   1;      2;      2;   2;   1;  29;32.2;      16;    3;  imp;      17;    2;  imp;      29;    1; pure;      27;    1;  imp;       ?;    ?;    ?
  74;3;   7;       106; skew;   3;   2;      1;      1;   0;   0;  71;67.0;      37;    0;  imp;      34;    0;  imp;      71;    0; pure;      71;    0;  imp;       ?;    ?;    ?
  76;6;   6;       538; skew;   1;   2;      3;      6;   1;   1; 201;37.4;     214;    1;  imp;     220;    1;  imp;     243;    1;  imp;     241;    1;  imp;       ?;    ?;    ?
  78;5;   7;      6076; skew;   3;   1;      5;      4;   0;   0;2884;47.5;     897;    2;  imp;    1466;    1;  imp;    2893;    0;  imp;    2464;    1;  imp;       ?;    ?;    ?
  79;3;   9;       166; skew;   3;   0;      1;      3;   0;   0; 112;67.5;     110;    0;  imp;     100;    0;  imp;     113;    0;  imp;     111;    0;  imp;       ?;    ?;    ?
  80;3;   9;       352; skew;   5;   0;      1;      3;   0;   0; 245;69.6;     163;    0;  imp;     172;    0;  imp;     245;    0; pure;     245;    0; pure;       ?;    ?;    ?
  81;6;   4;      3198; skew;   3;   2;      5;      2;   1;   1;1104;34.5;     894;    1;  imp;     661;    1;  imp;    1104;    1; pure;     855;    2;  imp;       ?;    ?;    ?
  82;2;   8;        64;plain;  11;   0;      2;      2;   0;   0;  49;76.6;      49;    0; pure;      43;    0;  imp;      49;    0; pure;      49;    0; pure;       ?;    ?;    ?
  83;5;   5;       136; skew;   2;   4;      3;      3;   1;   1;  47;34.6;      57;    0;  imp;      58;    0;  imp;      53;    1;  imp;      66;    0;  imp;       ?;    ?;    ?
  84;5;   9;     14682; skew;   4;   4;      2;      5;   0;   0;7217;49.2;    6488;    0;  imp;    4409;    0;  imp;    7265;    0;  imp;    5645;    1;  imp;       ?;    ?;    ?
  86;4;   8;      3116; skew;   5;   1;      3;      3;   0;   0;1818;58.3;    1818;    0; pure;    1061;    0;  imp;    1818;    0; pure;    1078;    1;  imp;       ?;    ?;    ?
  87;2;   5;        18; skew;   3;   1;      1;      1;   0;   0;  12;66.7;       9;    0;  imp;      10;    0;  imp;      12;    0; pure;      12;    0; pure;      12;    0; pure
