  p;  d;         CPU;      keys;              theory
  1;  2;    0.000001;         1;                   1
  1;  3;    0.000003;         2;                   2
  1;  4;    0.000008;         3;                   3
  1;  5;    0.000015;         4;                   4
  1;  6;    0.000026;         5;                   5
  1;  7;    0.000049;         6;                   6
  1;  8;    0.000054;         7;                   7
  1;  9;    0.000084;         8;                   8
  1; 10;    0.000109;         9;                   9
  1; 11;    0.000147;        10;                  10
  1; 12;    0.000199;        11;                  11
  1; 13;    0.000247;        12;                  12
  1; 14;    0.000313;        13;                  13
  1; 15;    0.000437;        14;                  14
  1; 16;    0.000560;        15;                  15
  2;  2;    0.000003;         2;                   2
  2;  3;    0.000027;         4;                   4
  2;  4;    0.000797;         9;                   9
  2;  5;    0.001068;        16;                  16
  2;  6;    0.010161;        25;                  25
  2;  7;    0.006783;        36;                  36
  2;  8;    0.025378;        49;                  49
  2;  9;    0.046596;        64;                  64
  2; 10;    0.121327;        81;                  81
  2; 11;    0.262460;       100;                 100
  2; 12;    0.498043;       121;                 121
  2; 13;    0.978318;       144;                 144
  2; 14;    1.784629;       169;                 169
  2; 15;    3.124029;       196;                 196
  2; 16;    5.212131;       225;                 225
  3;  2;    0.000012;         3;                   3
  3;  3;    0.000780;        12;                  12
  3;  4;    0.015521;        27;                  27
  3;  5;    1.379381;        64;                  64
  3;  6;  100.709468;       125;                 125
  3;  7;    3.001810;       216;                 216
  3;  8;  330.977911;       343;                 343
  3;  9;   69.773683;       512;                 512
  3; 10;  250.246153;       729;                 729
  3; 11; 2979.334558;      1000;                1000
  3; 12; 2188.726394;      1327;                1331
  3; 13; 3565.375404;      1486;                1728
  3; 14; 3570.711725;      1451;                2197
  3; 15; 3521.225949;      1418;                2744
  3; 16; 3235.919486;      1372;                3375
  4;  2;    0.000111;         6;                   6
  4;  3;    0.010720;        32;                  32
  4;  4;    0.198312;       108;                 108
  4;  5;  885.602687;       256;                 256
  4;  6; 3401.899375;       621;                 625
  4;  7; 3337.629363;      1293;                1296
  4;  8; 3569.448141;      1597;                2401
  4;  9; 3568.943077;      1556;                4096
  4; 10; 3320.824064;      1506;                6561
  4; 11; 3056.086869;      1436;               10000
  4; 12; 2908.378251;      1374;               14641
  4; 13; 2737.542148;      1321;               20736
  4; 14; 2614.558335;      1272;               28561
  4; 15; 2556.042299;      1229;               38416
  4; 16; 2462.270061;      1189;               50625
  5;  2;    0.000209;        10;                  10
  5;  3;    0.057081;        80;                  80
  5;  4;  763.194764;       405;                 405
  5;  5; 1305.151288;      1265;                1280
  5;  6; 3565.661281;      1662;                3125
  5;  7; 3543.940786;      1610;                7776
  5;  8; 3108.829692;      1506;               16807
  5;  9; 2837.789266;      1420;               32768
  5; 10; 2662.537700;      1347;               59049
  5; 11; 2608.067720;      1284;              100000
  5; 12; 2429.772931;      1229;              161051
  5; 13; 2396.043529;      1181;              248832
  5; 14; 2285.121623;      1138;              371293
